name,region,cityProvince,address,holes,phone,certified,status,lat,lng
관악 파크골프장,서울,서울,서울 관악구 신림동 산108-10,9,,False,공개,37.5085,127.0632
난지천공원 파크골프장연습장,서울,서울,서울 마포구 상암동 1538,6,,False,공개,37.5715723,126.8728063
녹천교 파크골프장,서울,서울,서울 도봉구 창동 796,6,,False,공개,37.64643,127.04326
다락원 파크골프장,서울,서울,서울 도봉구 도봉동 1-28,9,,False,공개,37.6826056,127.0425405
동작 파크골프장,서울,서울,서울 동작구 동작동 327,9,,False,공개,37.5028911,126.9775288
망원유수지 파크골프장,서울,서울,서울 마포구 망원동 450-3,9,,False,공개,37.55586,126.90087
살곶이공원 파크골프장,서울,서울,서울특별시 성동구 사근동 104,2,,False,공개,37.5085,127.0632
서남물재생센터 파크골프장,서울,서울,서울특별시 강서구 양천로201,9,,False,공개,37.5085,127.0632
안양천 파크골프장,서울,서울,서울특별시 양천구 목동411일대,18,,False,공개,37.5085,127.0632
안양천 파크골프장,서울,서울,서울특별시 구로구 신도림동271-64번지 일대,9,,False,공개,37.5085,127.0632
안양천 파크골프장,서울,서울,서울특별시 구로구 고척동60-1번지 일대,18,,False,공개,37.5085,127.0632
안양천 파크골프장,서울,서울,서울특별시 금천구 가산동557-3,18,,False,공개,37.5085,127.0632
안양천 파크골프장,서울,서울,서울특별시 영등포구 양화동4-1일대,18,,False,공개,37.5085,127.0632
안양천 파크골프장,서울,서울,서울특별시 양천구 목동411 일대,9,,False,공개,37.5085,127.0632
여의도한강공원,서울,서울,서울특별시 영등포구 여의도동 70-1,18,,False,공개,37.5085,127.0632
월드컵공원 파크골프장,서울,서울,서울특별시 마포구 상암동478-1번지 일대,18,,False,공개,37.5085,127.0632
잠실운동장 파크골프장,서울,서울,서울특별시 송파구 올림픽로25번지,9,,False,공개,37.5085,127.0632
잠실파크골프장,서울,서울,서울특별시 잠실동 306(잠실 유수지),9,,False,공개,37.5085,127.0632
중랑구립파크골프장,서울,서울,서울특별시 중랑구 묵동 361-5 일대,9,,False,공개,37.5085,127.0632
중랑물재생센터 파크골프장,서울,서울,서울특별시 성동구 자동차시장3길 64,9,,False,공개,37.5085,127.0632
중랑천 파크골프장,서울,서울,서울특별시 광진구 중곡동455-9번지 일대,9,,False,공개,37.5085,127.0632
중랑천 파크골프장,서울,서울,서울특별시 노원구 월계동230-10,9,,False,공개,37.5085,127.0632
중랑천 파크골프장,서울,서울,서울특별시 동대문구 장안동204번지 일대,9,,False,공개,37.5085,127.0632
중랑천파크골프장,서울,서울,서울특별시 노원구 상계동 754-14,9,,False,공개,37.5085,127.0632
탄천 파크골프장,서울,서울,서울특별시 강남구 세곡동 1-3,27,,False,공개,37.5085,127.0632
가평파크골프장,경기,경기,경기도 가평군 청평면 대성리 388-13,36,,True,공개,37.5085,127.0632
공촌유수지파크골프장,인천,인천,인천광역시 서구 첨단서로 130 공촌유수지체육시설,18,,False,공개,37.5085,127.0632
광주시파크골프장,경기,경기,경기도 광주시 경안동 청석공원 내 파크골프장,18,,False,공개,37.5085,127.0632
구리시파크골프장,경기,경기,경기도 구리시 수택동 왕숙천 구리시환경사무소,9,,False,공개,37.5085,127.0632
군포시파크골프장,경기,경기,경기도 군포시 수변공원내,9,,False,공개,37.5085,127.0632
나리공원파크골프장,경기,경기,경기도 양주시 광사동 나리공원 내,18,,False,공개,37.5085,127.0632
남양주장애인파크골프장,경기,경기,경기도 남양주시 별내동 910,9,,False,공개,37.5085,127.0632
남양주파크골프장,경기,경기,경기도 남양주시 다산동739 다산근린공원 앞 왕숙천,18,,False,공개,37.5085,127.0632
동두천파크골프장,경기,경기,경기도 동두천시 동두천로27 송내주공5단지,9,,False,공개,37.5085,127.0632
동두천파크골프장,경기,경기,경기도 동두천시 송내동 696,18,,False,공개,37.5085,127.0632
동탄제2신도시파크골프장,경기,경기,경기도 화성시 동탄면 방교동789,18,,False,공개,37.5085,127.0632
미사리파크골프장,경기,경기,경기도 하남시 미사동608 하남나무고아원,9,,False,공개,37.5085,127.0632
서종파크골프장,경기,경기,경기도 양평군 서종면 문호리922-4 서종문화체육공원 내,9,,False,공개,37.5085,127.0632
선학파크골프장,인천,인천,인천광역시 연수구 경원대로 526,9,,False,공개,37.4387036,126.695273
성남시파크골프장,경기,경기,경기도 성남시 분당구 수내동 탄천변,9,,False,공개,37.5085,127.0632
성저파크골프장,경기,경기,경기도 고양시 일산서구 대화동2325,18,,False,공개,37.5085,127.0632
수원시파크골프장,경기,경기,경기도 수원시 권선구 서수원로577번길 171(서수원칠보체육관),9,,False,공개,37.5085,127.0632
시흥시청파크골프장,경기,경기,경기도 시흥시 장현동 300 시흥시청 옆,9,,False,공개,37.5085,127.0632
시흥파크골프장,경기,경기,경기도 시흥시 목감동 신도시 내,9,,False,공개,37.5085,127.0632
안산신길파크골프장,경기,경기,경기도 안산시 단원구 신길동1748,18,,False,공개,37.5085,127.0632
양지파인리조트파크골프장,경기,경기,경기도 용인시 처인구 양지면 남평로112 양지파인리조트,9,,False,공개,37.5085,127.0632
양촌파크골프장,경기,경기,경기도 김포시 양촌읍 학운리 3084-4,9,,False,공개,37.5085,127.0632
양평장애인파크골프장,경기,경기,경기도 양평군 강상면 교평리419,18,,False,공개,37.5085,127.0632
양평파크골프장,경기,경기,경기도 양평군 강상면 교평리419,81,,False,공개,37.5085,127.0632
여주파크골프장,경기,경기,경기도 여주시 현암동 616-3,36,,False,공개,37.5085,127.0632
연천재인폭포오토캠핑장파크골프장,경기,경기,경기도 연천군 연천읍 고문리130-1,18,,True,공개,37.5085,127.0632
연천파크골프장,경기,경기,경기도 연천군 군남면 군남대교옆,36,,False,공개,37.5085,127.0632
영종파크골프장,인천,인천,인천광역시 중구 중산동 1878-2,9,,False,공개,37.5085,127.0632
용인파크골프장,경기,경기,경기도 용인시 포곡읍 용인애버랜드 옆(체육공원내),9,,False,공개,37.5085,127.0632
운정호수공원파크골프장,경기,경기,경기도 파주시 소리천로91,9,,False,공개,37.5085,127.0632
의정부파크골프장,경기,경기,경기도 의정부시 장암동146-10(호장교 밑),18,,False,공개,37.5085,127.0632
이천시파크골프장,경기,경기,경기도 이천시 안흥동 33번지,18,,False,공개,37.5085,127.0632
인천	인천송도파크골프장,인천,인천,인천광역시 연수구 송도동 1번지 달빛공원 내,18,,True,공개,37.5085,127.0632
일동파크골프장,경기,경기,경기도 포천시 일동면 새낭로267,18,,False,공개,37.5085,127.0632
장수파크골프장,인천,인천,인천광역시 남동구 만수동 668,18,,False,공개,37.45291,126.73583
장애인파크골프장,경기,경기,경기도 남양주시 진건읍 송능2리(광해군묘),9,,False,공개,37.5085,127.0632
장호원파크골프장,경기,경기,경기도 이천시 장호원읍 오남리 304-5(청미천 둔치),18,,False,공개,37.5085,127.0632
정발파크골프장,경기,경기,경기도 고양시 일산동구 마두동819 정발산배수지,9,,False,공개,37.5085,127.0632
죽전파크골프장,경기,경기,경기도 용인시 수지구 죽전동555-4 죽전체육공원(하수처리장),9,,False,공개,37.5085,127.0632
중산파크골프장,경기,경기,경기도 고양시 일산동구 중산로217 중산공원,9,,False,공개,37.5085,127.0632
청심빌리지파크골프장,경기,경기,경기도 가평군 설악면 송산리711 청심빌리지,9,,False,공개,37.5085,127.0632
파주금강산랜드파크골프장,경기,경기,경기도 파주시 월롱면 위전리89,9,,False,공개,37.5085,127.0632
파주파크골프장,경기,경기,경기도 파주시 교하로577(심학산배수지입구),18,,False,공개,37.5085,127.0632
평택파크골프장,경기,경기,경기도 평택시 비전동 1005-1,9,,False,공개,37.0008941,127.100778
포천시파크골프장,경기,경기,경기도 포천시 일동면 사직리 913-4,36,,False,공개,37.5085,127.0632
하남시파크골프장,경기,경기,경기도 하남시 미사대로505 미사경정공원 내,18,,False,공개,37.5085,127.0632
하남시파크골프장,경기,경기,경기도 하남시 미사대로 505,36,,False,공개,37.5536315,127.2132471
화정파크골프장,경기,경기,경기도 고양시 덕양구 은빛로77,9,,False,공개,37.5085,127.0632
철원군파크골프장,강원,강원,강원특별자치도 철원군 갈말읍 군탄리 869,36,,False,공개,37.5085,127.0632
청일파크골프장,강원,강원,강원특별자치도 횡성군 청일면 유평리 613-1,18,,False,공개,37.5654881,128.143397
춘천 서면파크골프장,강원,강원,강원특별자치도 춘천시 서면 박서로800,18,,False,공개,37.5085,127.0632
춘천 소양강파크골프장,강원,강원,강원특별자치도 춘천시 장학리 459-11,18,,True,공개,37.9074896,127.7567763
취병파크골프장,강원,강원,강원특별자치도 원주시 문막읍 취병리 438-37번지,18,,False,공개,37.5085,127.0632
태백파크골프장,강원,강원,강원특별자치도 태백시 백두대간로 179 태백스포츠파크 내,18,,False,공개,37.5085,127.0632
태장파크골프장,강원,강원,강원특별자치도 원주시 태장동1346-16 둔치,18,,False,공개,37.5085,127.0632
평창 파크골프장,강원,강원,강원특별자치도 평창군 평창읍 제방길 101,18,,False,공개,37.5085,127.0632
학성파크골프장,강원,강원,강원특별자치도 원주시 학성동 36번지,18,,False,공개,37.5085,127.0632
한반도섬 파크골프장,강원,강원,강원특별자치도 양구군 양구읍 파라호로 855번길,27,,False,공개,37.5085,127.0632
행구수변공원파크골프장,강원,강원,강원특별자치도 원주시 행구동 1029번지,9,,False,공개,37.5085,127.0632
현리근린공원파크골프장,강원,강원,강원특별자치도 인제군 기린면 현리 785 근린공원,9,,False,공개,37.5085,127.0632
홍천강변파크골프장,강원,강원,강원특별자치도 홍천군 홍천읍 갈마곡리 267-10,18,,False,공개,37.6982571,127.8957301
화천 산천어파크골프장(1구장),강원,강원,강원특별자치도 화천군 하남면 춘화로 3061-17,18,,False,공개,38.0909298,127.6970272
화천 산천어파크골프장(2구장),강원,강원,강원특별자치도 화천군 하남면 춘화로 3061-17,18,,False,공개,38.0909298,127.6970272
화천 생활체육공원파크골프장,강원,강원,강원특별자치도 화천군 하남면 춘화로 3225-56,18,,False,공개,37.5085,127.0632
횡성파크골프장,강원,강원,강원특별자치도 횡성군 횡성읍 앞들동2로 45-19,18,,False,공개,37.4832719,127.9846455
